,name,longitude,latitude,avg_test_score
283,Fresh Meadows,-73.78271337,40.73439447,53.29459906
285,Edgemere,-73.77613282,40.59564181,13.97760809
286,Bayside,-73.77427363,40.76604063,47.06106613
290,Springfield Gardens,-73.76042093,40.66623049,33.86131284
291,Hollis,-73.75925009,40.71124344,33.92673429
292,St. Albans,-73.75867604,40.69444539,31.24796097
294,Oakland Gardens,-73.75494976,40.74561857,73.68855027
296,Douglaston,-73.74249821,40.7668461,50.77271855
298,Little Neck,-73.73889776,40.77082619,64.42339066
300,Queens Village,-73.73871485,40.71889309,37.88756575
303,Bellerose,-73.72012815,40.72857318,50.1315233
304,Glen Oaks,-73.71548119,40.7494408,55.8466255
305,Floral Park,-73.70884706,40.74137842,61.9801866
