name,longitude,latitude,uber_count,avg_price,adj_pop,median_daily_test_rate,avg_test_score,Median Sale Price - na has median
Wakefield,-73.84720052,40.89470518,810,1.35,43034,564.4,26.71884538,518000
Washington Heights,-73.93690028,40.85190253,18374,1.35,159351,1444.4,34.72476291,590000
Weeksville,-73.93053109,40.67503987,0,1.6,45364,482.5,35.51450252,590000
West Brighton,-74.10718178,40.63187893,106,1.55,50413,260.2,40.49042838,525000
West Farms,-73.87774475,40.83947506,789,1.65,34777,227.6,37.4221829,240000
West Village,-74.00617998,40.73443394,111976,1.9,67682,290.1,47.16609857,1312500
Westchester Square,-73.84219408,40.8406195,0,1.6,28193,513.6,30.73602056,610000
Westerleigh,-74.13304144,40.62109047,157,1.6,23946,482.5,35.7596106,625000
Whitestone,-73.81420217,40.78129077,1084,1.75,31064,219.6,62.80426679,660000
Williamsbridge,-73.85744643,40.88103888,1140,1.45,59370,511.5,29.04598894,482500
Williamsburg,-73.95811529,40.70714439,72684,1.9,32597,685.6,29.1941435,953354
Willowbrook,-74.13208447,40.60370693,0,1.6,6927,482.5,41.33803704,524000
Windsor Terrace,-73.9800734,40.65694584,4733,1.75,20884,632.4,44.52957153,795000
Wingate,-73.93718681,40.66094656,0,1.75,68880,482.5,39.15339911,616041
Woodhaven,-73.85811047,40.68988688,2058,1.4,55411,222.2,40.72576399,580000
Woodlawn,-73.86731497,40.89827261,810,1.4,43034,260.1,45.93640884,195000
Woodrow,-74.20524582,40.54196762,5,1.75,19829,297.5,44.27327559,795000
Woodside,-73.90184167,40.74634909,4567,1.4,44473,243.9,46.96401832,371000
Yorkville,-73.94711784,40.77592985,46819,1.8,77355,928.3,43.01623943,824000
